Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.1,Replace,70.10601806640625,0.15866139299106813,0.15822659308395187
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.3,Log,38.76532983779907,0.1722295355101729,0.1583667772258579
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",None,0.2,Log,7.5321905612945566,0.16404971988137876,0.15911107188729115
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",None,0.3,Replace,122.43885374069214,0.1629955886014137,0.16044063611760775
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",RobustScaler,0.1,Replace,60.6942732334137,0.1612918596333946,0.16094767256911693
AdaBoostRegressor,"{'n_estimators': 64, 'loss': 'linear', 'learning_rate': 0.001, 'base_estimator': LinearRegression()}",MinMaxScaler,0.2,Replace,32.333887338638306,0.1818160895584348,0.16135858928783772
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.9500000000000001, 'alpha': 1.3000000000000003}",None,0.2,Replace,39.40937399864197,0.1538797427218231,0.1614022818344279
ElasticNet,"{'warm_start': True, 'selection': 'random', 'l1_ratio': 0.05, 'alpha': 1.0}",StandardScaler,0.1,Log,8.531887531280518,0.17133597879558732,0.16184939867465067
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.1,Log,85.79093647003174,0.17414724160503098,0.1619492192010174
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.4, 'alpha': 1.4000000000000001}",StandardScaler,0.3,Log,6.740559816360474,0.16905193290798495,0.16221417497860646
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.8, 'alpha': 1.8000000000000003}",RobustScaler,0.3,Log,6.547885894775393,0.16470466962210667,0.1626264637184383
LinearRegression,,None,0.3,Replace,0.8709185123443604,0.14873393143743532,0.1628516477067872
LinearRegression,,StandardScaler,0.3,Replace,0.886570930480957,0.14873393143734667,0.16285164770681368
LinearRegression,,MinMaxScaler,0.3,Replace,0.8865528106689453,0.14873393143734848,0.16285164770681598
LinearRegression,,RobustScaler,0.3,Replace,0.8644273281097412,0.14873393143734662,0.16285164770681662
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.3,YeoJonson,42.36549925804138,0.17898305163736064,0.16389676987281693
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",None,0.2,YeoJonson,11.97117519378662,0.16397717565090447,0.16393383577614232
